date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
22/11/2021,ES,583,4028,31953,1583084,
22/11/2021,F,993,4498,31593,8095436,
22/11/2021,FCX,108,2500,3300,1100455,
22/11/2021,GILD,74,29,285,628171,
22/11/2021,GOOG,383,1077,5397,2414735,
22/11/2021,GOOGL,513,5288,32755,3391861,
22/11/2021,GS,283,572,5846,5631381,
22/11/2021,J,86,5469,12022,992827,
22/11/2021,JPM,1293,463073,4040929,4050624,
22/11/2021,K,24,6,39,221584,
22/11/2021,KEY,1769,10051,74799,1668987,
22/11/2021,KO,86,677,2703,475659,
22/11/2021,LUV,73,106,461,276425,
22/11/2021,MA,328,838,5529,1781058,
22/11/2021,META,800,5581,27783,9556544,
22/11/2021,MNST,197,4847,17855,2596532,
22/11/2021,MO,65,125,796,248018,
22/11/2021,MSFT,658,5709,22192,3798311,
22/11/2021,MU,548,930,5613,4918065,
22/11/2021,NFLX,412,11421,11607,3238485,
22/11/2021,NKE,195,1642,9723,1015411,
22/11/2021,NVDA,1614,4045,30386,13411302,
22/11/2021,OXY,311,121584,43074,650241,
22/11/2021,PEP,95,165,1240,976230,
22/11/2021,PFE,501,16078,108390,7099914,
22/11/2021,PG,69,1877,10067,324919,
22/11/2021,PM,35,122,870,192923,
22/11/2021,REGN,43,10,60,191108,
22/11/2021,SLB,34,89,108,100691,
22/11/2021,STZ,125,357,1680,1027158,
22/11/2021,T,279,516,2058,1548209,
22/11/2021,TSLA,7489,406975,3833881,32298524,
22/11/2021,V,348,300,3619,1078358,
23/11/2021,AAL,112,21,102,703871,
23/11/2021,AAPL,2144,29803,93381,24331054,
23/11/2021,ABBV,91,27,360,1400543,
23/11/2021,AMD,536,1320,10264,3281815,
23/11/2021,AMZN,1448,54546,73601,7943432,
23/11/2021,ATVI,41,162,898,465437,
23/11/2021,BA,202,518,3759,823555,
23/11/2021,CRM,75,262,987,442287,
23/11/2021,DIS,368,590,3348,1696610,
23/11/2021,EBAY,22,6,24,306758,
23/11/2021,ES,267,448,3344,1338222,
23/11/2021,F,353,1187,7847,2041299,
23/11/2021,FCX,21,748,823,40611,
23/11/2021,GOOG,187,289,1356,1255383,
23/11/2021,GOOGL,188,4858,20778,1350051,
23/11/2021,GS,275,8426,13978,3561999,
23/11/2021,JPM,472,135816,1274378,3021091,
23/11/2021,KEY,344,2303,17556,1790960,
23/11/2021,MA,143,961,5863,1494166,
23/11/2021,META,530,5495,29011,3262969,
23/11/2021,MSFT,404,3554,17171,2916912,
23/11/2021,MU,282,294,1402,2184228,
23/11/2021,NFLX,273,2399,9998,2289152,
23/11/2021,NKE,24,258,1234,67684,
23/11/2021,NVDA,961,5546,31166,4928911,
23/11/2021,OXY,106,139,265,745174,
23/11/2021,PFE,294,15076,113222,1019048,
23/11/2021,PG,69,429,2469,643801,
23/11/2021,T,70,34,208,785387,
23/11/2021,TSLA,8067,528782,5267682,37541772,
23/11/2021,V,226,456,3834,1459750,
24/11/2021,AAPL,1914,81149,110648,18186184,
24/11/2021,ABBV,30,18,220,81763,
24/11/2021,AES,3940,8691748,10063467,431529,
24/11/2021,AMD,517,769,4191,3959779,
24/11/2021,AMZN,939,59187,87674,10303057,
24/11/2021,ATVI,112,5433,16011,270254,
24/11/2021,BA,118,88,578,470106,
24/11/2021,CRM,21,7,18,206641,
24/11/2021,DAL,25,800,468,165083,
24/11/2021,DIS,363,428,3733,2229583,
24/11/2021,ES,179,177,766,895514,
24/11/2021,F,267,1466,8771,1749229,
24/11/2021,GOOG,446,51004,112794,887097,
24/11/2021,GOOGL,261,3432,9811,9763912,
24/11/2021,GS,170,9670,20188,758967,
24/11/2021,JPM,299,1538,10062,2674158,
24/11/2021,KEY,253,222,1288,714602,
24/11/2021,MA,112,214,1055,464352,
24/11/2021,META,628,15540,47716,2442839,
24/11/2021,MNST,165,6998,10194,1089263,
24/11/2021,MSFT,329,7971,19398,2434562,
24/11/2021,MU,255,327,1737,1995839,
24/11/2021,NFLX,155,2289,3713,963473,
24/11/2021,NKE,47,583,2881,268375,
24/11/2021,NVDA,702,2800,19430,3227724,
24/11/2021,OXY,373,235137,72393,202001,
24/11/2021,PFE,120,425,3003,782182,
24/11/2021,PG,21,114,861,80889,
24/11/2021,T,52,323,1536,437396,
24/11/2021,TSLA,6179,282583,2799543,25654205,
24/11/2021,V,157,598,3627,805457,
25/11/2021,AAPL,752,30754,45567,3020736,
25/11/2021,AES,3024,17986648,20473580,269366,
25/11/2021,AMD,257,6787,11530,2469560,
25/11/2021,AMZN,342,21357,116621,2862238,
25/11/2021,ATVI,25,963,3061,184091,
25/11/2021,DIS,62,53,430,199976,
25/11/2021,F,86,109,1888,303277,
25/11/2021,FCX,26,547,915,44499,
25/11/2021,GOOG,45,2663,5972,742122,
25/11/2021,GOOGL,216,7674,25021,687321,
25/11/2021,GS,120,899,2164,353578,
25/11/2021,JPM,91,420,2629,684388,
25/11/2021,KEY,85,959,5333,316815,
25/11/2021,MA,23,75,212,192710,
25/11/2021,META,245,1187,5777,2133236,
25/11/2021,MNST,48,2772,1717,208077,
25/11/2021,MSFT,248,3207,14936,1045045,
25/11/2021,MU,42,113,1168,95151,
25/11/2021,NFLX,87,96,647,512164,
25/11/2021,NVDA,314,591,4243,1725367,
25/11/2021,PFE,25,27,127,103196,
25/11/2021,SLB,104,8627,18329,84457,
25/11/2021,TSLA,4372,348568,3625485,11871569,
25/11/2021,V,28,103,578,106389,
26/11/2021,AAL,207,91,372,1529883,
26/11/2021,AAPL,1337,15922,84418,9621893,
26/11/2021,ABT,23,8,26,154897,
26/11/2021,AES,2542,22337689,25770985,241711,
26/11/2021,AMD,314,645,6654,2129984,
26/11/2021,AMZN,815,4910,22276,6534940,
26/11/2021,BA,407,500,1918,2334265,
26/11/2021,DAL,209,1384,2044,1220675,
26/11/2021,DIS,231,95,586,1089918,
26/11/2021,ES,555,446,3030,1646975,
26/11/2021,F,116,23,59,757276,
26/11/2021,GOOG,92,93,237,334994,
26/11/2021,GOOGL,146,2193,8449,688553,
26/11/2021,GS,112,15841,19920,265887,
26/11/2021,JPM,71,148,832,512933,
26/11/2021,KEY,41,278,1385,247428,
26/11/2021,MA,38,63,562,174451,
26/11/2021,META,440,1470,6318,3629651,
26/11/2021,MSFT,342,1118,5087,2366542,
26/11/2021,MU,49,360,3386,333163,
26/11/2021,NFLX,239,1543,12616,2178777,
26/11/2021,NVDA,380,466,3110,1839621,
26/11/2021,OXY,409,223033,82414,319558,
26/11/2021,PFE,1713,75444,257795,18807084,
26/11/2021,T,37,72,126,166276,
26/11/2021,TSLA,3971,107258,976751,14315161,
26/11/2021,V,87,258,1677,467066,
27/11/2021,AAL,40,16,113,51186,
27/11/2021,AAPL,604,22158,86873,2430151,
27/11/2021,ABT,29,7,39,1842,
27/11/2021,AES,1105,11669683,13512964,165126,
27/11/2021,AMD,328,5828,38691,1484048,
27/11/2021,AMZN,387,5466,30273,1718609,
27/11/2021,BA,619,141260,156978,501984,
27/11/2021,CRM,34,45,180,94175,
